"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       -13	    -1,000	       946	     0,000	     0,000	    -1,000	    -1,000
       -12	    -1,000	       946	     0,000	     0,000	    -1,000	    -1,000
       -11	    -1,000	       946	     0,000	     0,000	    -1,000	    -1,000
       -10	    -1,000	       994	     0,000	     0,000	    -1,000	    -1,000
        -9	   100,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -8	     4,000	       994	     0,000	     0,000	    -1,000	    -1,000
        -7	     1,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -6	    50,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -5	     0,000	      1010	     0,000	     0,000	    -1,000	    -1,000
        -4	   100,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -3	     0,000	      1010	     0,000	     0,000	    -1,000	    -1,000
        -2	     0,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -1	     1,000	       962	     0,000	     0,000	    -1,000	    -1,000
         0	     0,000	       978	     0,000	 65535,000	     6,154	     6,154
         1	     0,008	      1026	     0,000	 65535,000	    54,154	    54,154
         2	     0,016	       962	     0,000	 65535,000	    -9,846	    -9,846
         3	     0,024	       978	     0,000	 65535,000	     6,154	     6,154
         4	     0,032	       946	     0,000	 65535,000	   -25,846	   -25,846
         5	     0,040	       994	     0,000	 65535,000	    22,154	    22,154
         6	     0,048	       962	     0,000	 65535,000	    -9,846	    -9,846
         7	     0,056	       946	     0,000	 65535,000	   -25,846	   -25,846
         8	     0,064	       978	     0,000	 65535,000	     6,154	     6,154
         9	     0,072	       978	     0,000	 65535,000	     6,154	     6,154
        10	     0,080	      1010	     0,000	 65535,000	    38,154	    38,154
        11	     0,088	       994	     0,000	 65535,000	    22,154	    22,154
        12	     0,096	       962	     0,000	 65535,000	    -9,846	    -9,846
        13	     0,104	       962	     0,000	 65535,000	    -9,846	    -9,846
        14	     0,112	       962	     0,000	 65535,000	    -9,846	    -9,846
        15	     0,120	       930	     0,000	 65535,000	   -41,846	   -41,846
        16	     0,128	       914	     0,000	 65535,000	   -57,846	   -57,846
        17	     0,136	       946	     0,000	 65535,000	   -25,846	   -25,846
        18	     0,144	       978	     0,000	 65535,000	     6,154	     6,154
        19	     0,152	       962	     0,000	 65535,000	    -9,846	    -9,846
        20	     0,160	       994	     0,000	 65535,000	    22,154	    22,154
        21	     0,168	       994	     0,000	 65535,000	    22,154	    22,154
        22	     0,176	       978	     0,000	 65535,000	     6,154	     6,154
        23	     0,184	      1026	     0,000	 65535,000	    54,154	    54,154
        24	     0,192	       962	     0,000	 65535,000	    -9,846	    -9,846
        25	     0,200	       946	     0,000	 65535,000	   -25,846	   -25,846
        26	     0,208	       978	     0,000	 65535,000	     6,154	     6,154
        27	     0,216	      1010	     0,000	 65535,000	    38,154	    38,154
        28	     0,224	       978	     0,000	 65535,000	     6,154	     6,154
        29	     0,232	       946	     0,000	 65535,000	   -25,846	   -25,846
        30	     0,240	       962	     0,000	 65535,000	    -9,846	    -9,846
        31	     0,248	       946	     0,000	 65535,000	   -25,846	   -25,846
        32	     0,256	       978	     0,000	 65535,000	     6,154	     6,154
        33	     0,264	       962	     0,000	 65535,000	    -9,846	    -9,846
        34	     0,272	       930	     0,000	 65535,000	   -41,846	   -41,846
        35	     0,280	      1010	     0,000	 65535,000	    38,154	    38,154
