"pixel no"	"mm" 	"pixel val" 	"dark frame"	"flat field"	"corrected"	"smoothed"
       -13	    -1,000	       914	     0,000	     0,000	    -1,000	    -1,000
       -12	    -1,000	       914	     0,000	     0,000	    -1,000	    -1,000
       -11	    -1,000	       946	     0,000	     0,000	    -1,000	    -1,000
       -10	    -1,000	       930	     0,000	     0,000	    -1,000	    -1,000
        -9	   100,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -8	     4,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -7	     1,000	      1026	     0,000	     0,000	    -1,000	    -1,000
        -6	    50,000	       978	     0,000	     0,000	    -1,000	    -1,000
        -5	     0,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -4	   100,000	       962	     0,000	     0,000	    -1,000	    -1,000
        -3	     0,000	       914	     0,000	     0,000	    -1,000	    -1,000
        -2	     0,000	       946	     0,000	     0,000	    -1,000	    -1,000
        -1	     1,000	       930	     0,000	     0,000	    -1,000	    -1,000
         0	     0,000	       946	     0,000	 65535,000	    -3,692	    -3,692
         1	     0,008	       930	     0,000	 65535,000	   -19,692	   -19,692
         2	     0,016	       946	     0,000	 65535,000	    -3,692	    -3,692
         3	     0,024	       962	     0,000	 65535,000	    12,308	    12,308
         4	     0,032	       930	     0,000	 65535,000	   -19,692	   -19,692
         5	     0,040	       930	     0,000	 65535,000	   -19,692	   -19,692
         6	     0,048	       914	     0,000	 65535,000	   -35,692	   -35,692
         7	     0,056	       946	     0,000	 65535,000	    -3,692	    -3,692
         8	     0,064	       946	     0,000	 65535,000	    -3,692	    -3,692
         9	     0,072	       930	     0,000	 65535,000	   -19,692	   -19,692
        10	     0,080	       930	     0,000	 65535,000	   -19,692	   -19,692
        11	     0,088	       930	     0,000	 65535,000	   -19,692	   -19,692
        12	     0,096	       946	     0,000	 65535,000	    -3,692	    -3,692
        13	     0,104	       994	     0,000	 65535,000	    44,308	    44,308
        14	     0,112	       978	     0,000	 65535,000	    28,308	    28,308
        15	     0,120	       994	     0,000	 65535,000	    44,308	    44,308
        16	     0,128	       978	     0,000	 65535,000	    28,308	    28,308
        17	     0,136	       978	     0,000	 65535,000	    28,308	    28,308
        18	     0,144	       962	     0,000	 65535,000	    12,308	    12,308
        19	     0,152	       930	     0,000	 65535,000	   -19,692	   -19,692
        20	     0,160	       914	     0,000	 65535,000	   -35,692	   -35,692
        21	     0,168	       914	     0,000	 65535,000	   -35,692	   -35,692
        22	     0,176	       930	     0,000	 65535,000	   -19,692	   -19,692
        23	     0,184	       930	     0,000	 65535,000	   -19,692	   -19,692
        24	     0,192	       930	     0,000	 65535,000	   -19,692	   -19,692
        25	     0,200	       946	     0,000	 65535,000	    -3,692	    -3,692
        26	     0,208	       914	     0,000	 65535,000	   -35,692	   -35,692
        27	     0,216	       946	     0,000	 65535,000	    -3,692	    -3,692
        28	     0,224	       978	     0,000	 65535,000	    28,308	    28,308
        29	     0,232	       978	     0,000	 65535,000	    28,308	    28,308
        30	     0,240	       962	     0,000	 65535,000	    12,308	    12,308
        31	     0,248	       914	     0,000	 65535,000	   -35,692	   -35,692
        32	     0,256	       946	     0,000	 65535,000	    -3,692	    -3,692
        33	     0,264	       946	     0,000	 65535,000	    -3,692	    -3,692
        34	     0,272	       930	     0,000	 65535,000	   -19,692	   -19,692
        35	     0,280	       946	     0,000	 65535,000	    -3,692	    -3,692
        36	     0,288	       978	     0,000	 65535,000	    28,308	    28,308
        37	     0,296	       962	     0,000	 65535,000	    12,308	    12,308
        38	     0,304	       962	     0,000	 65535,000	    12,308	    12,308
        39	     0,312	       946	     0,000	 65535,000	    -3,692	    -3,692
        40	     0,320	       962	     0,000	 65535,000	    12,308	    12,308
        41	     0,328	       946	     0,000	 65535,000	    -3,692	    -3,692
        42	     0,336	       962	     0,000	 65535,000	    12,308	    12,308
        43	     0,344	       898	     0,000	 65535,000	   -51,692	   -51,692
        44	     0,352	       898	     0,000	 65535,000	   -51,692	   -51,692
        45	     0,360	       914	     0,000	 65535,000	   -35,692	   -35,692
        46	     0,368	       978	     0,000	 65535,000	    28,308	    28,308
        47	     0,376	       978	     0,000	 65535,000	    28,308	    28,308
        48	     0,384	       994	     0,000	 65535,000	    44,308	    44,308
        49	     0,392	       946	     0,000	 65535,000	    -3,692	    -3,692
        50	     0,400	       978	     0,000	 65535,000	    28,308	    28,308
        51	     0,408	       946	     0,000	 65535,000	    -3,692	    -3,692
        52	     0,416	       994	     0,000	 65535,000	    44,308	    44,308
        53	     0,424	       930	     0,000	 65535,000	   -19,692	   -19,692
        54	     0,432	       914	     0,000	 65535,000	   -35,692	   -35,692
        55	     0,440	       930	     0,000	 65535,000	   -19,692	   -19,692
        56	     0,448	       930	     0,000	 65535,000	   -19,692	   -19,692
        57	     0,456	       914	     0,000	 65535,000	   -35,692	   -35,692
        58	     0,464	       962	     0,000	 65535,000	    12,308	    12,308
        59	     0,472	       946	     0,000	 65535,000	    -3,692	    -3,692
        60	     0,480	       962	     0,000	 65535,000	    12,308	    12,308
        61	     0,488	       930	     0,000	 65535,000	   -19,692	   -19,692
        62	     0,496	       946	     0,000	 65535,000	    -3,692	    -3,692
        63	     0,504	       962	     0,000	 65535,000	    12,308	    12,308
        64	     0,512	       898	     0,000	 65535,000	   -51,692	   -51,692
        65	     0,520	       962	     0,000	 65535,000	    12,308	    12,308
        66	     0,528	       914	     0,000	 65535,000	   -35,692	   -35,692
        67	     0,536	       962	     0,000	 65535,000	    12,308	    12,308
        68	     0,544	       978	     0,000	 65535,000	    28,308	    28,308
        69	     0,552	       930	     0,000	 65535,000	   -19,692	   -19,692
